#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
21.57477,21.09304,19.75127,19.01065,18.60386,0.4817295,1.34177,0.7406139,0.4067936,GALAXY,,0.4861143,56748,1,1,0,0,191.513720218252,68.1285770771121
22.14863,21.1673,19.64573,18.89467,18.47014,0.9813309,1.521568,0.7510643,0.42453,GALAXY,,0.4388389,56748,1,1,0,0,191.767738487932,68.4345222217727
20.90849,18.90971,17.68187,17.19028,16.93006,1.998781,1.22784,0.4915867,0.2602234,GALAXY,,0.2352246,52374,1,1,0,0,166.399432878093,1.30882499276979
20.47172,18.4042,17.38155,16.94708,16.67979,2.067522,1.022655,0.4344635,0.267292,GALAXY,,0.1605034,52374,1,1,0,0,166.763403784242,1.26109429316272
18.2604,16.64999,15.9074,15.52697,15.26183,1.610409,0.7425909,0.3804274,0.2651358,GALAXY,,0.08420949,52374,1,1,0,0,167.180037662537,1.26082767494163
21.974,19.70831,18.15663,17.5323,17.14043,2.265697,1.551678,0.6243324,0.3918705,GALAXY,,0.2717465,52374,1,1,0,0,166.520640631968,1.63204774396408
19.67078,18.21738,17.42592,17.00487,16.74082,1.453405,0.7914581,0.4210472,0.2640533,GALAXY,,0.1482177,52374,1,1,0,0,166.611828278513,1.71415754274269
21.83393,20.37821,18.6755,18.0653,17.71045,1.455723,1.702707,0.6102009,0.354845,GALAXY,,0.3414264,52374,1,1,0,0,166.540825021954,1.71899554698592
19.69248,18.00496,17.01122,16.57023,16.22524,1.687517,0.9937496,0.4409828,0.3449879,GALAXY,,0.1336731,52374,1,1,0,0,166.718541047072,1.67622814989787
22.00088,20.04872,18.70427,18.25691,17.86262,1.95216,1.344448,0.4473553,0.3942928,GALAXY,,0.2183945,52374,1,1,0,0,166.791060467962,1.71463604343074
20.95624,18.93292,17.72128,17.25181,16.93662,2.023325,1.211641,0.4694672,0.3151913,GALAXY,,0.1954203,52374,1,1,0,0,166.922257553011,1.67085982455821
21.85823,19.89254,18.20844,17.54973,17.21656,1.965693,1.684103,0.6587048,0.3331738,GALAXY,,0.388103,52374,1,1,0,0,166.827756431498,1.57707738644678
26.80739,20.55097,18.75776,18.07738,17.60592,6.256422,1.793203,0.6803894,0.4714584,GALAXY,,0.4130692,52374,1,1,0,0,166.803244897465,1.74095574740689
20.1723,18.08283,17.14117,16.71216,16.33049,2.089476,0.9416599,0.4290047,0.38167,GALAXY,,0.09493636,52374,1,1,0,0,166.238889495143,1.96787429134406
20.90031,18.90488,17.6554,17.18515,16.9073,1.995434,1.249481,0.470253,0.2778435,GALAXY,,0.1927124,52374,1,1,0,0,166.650926874462,1.99890465779398
19.11651,17.91857,17.32803,16.93662,16.59645,1.197939,0.5905437,0.3914051,0.340168,GALAXY,,0.1048271,52374,1,1,0,0,166.781199156565,2.03920049527176
19.15039,17.23479,16.32097,15.93588,15.62557,1.915602,0.9138165,0.3850937,0.3103142,GALAXY,,0.08746012,52374,1,1,0,0,167.06279326783,2.08317909880119
20.14101,18.1121,17.11562,16.61207,16.2392,2.02891,0.9964733,0.5035534,0.3728733,GALAXY,,0.0700224,56449,1,1,0,0,235.65885711922,52.9982679886274
22.12604,20.95069,19.22843,18.61433,18.1867,1.175356,1.722254,0.6141033,0.4276295,GALAXY,,0.3625261,56449,1,1,0,0,235.478438439127,53.0460908265094
24.76757,22.16085,20.62368,19.71378,19.32943,2.606722,1.537169,0.9099045,0.3843479,GALAXY,,0.4955895,56449,1,1,0,0,235.686884812624,53.0384640760998
22.40367,21.14294,19.41185,18.66669,18.20276,1.260731,1.731091,0.7451649,0.4639301,GALAXY,,0.4508657,56449,1,1,0,0,235.532712529522,53.6018201274138
22.12933,21.21579,19.87953,19.13622,18.61316,0.9135418,1.33626,0.7433033,0.5230675,GALAXY,,0.2924787,56449,1,1,0,0,235.513422306523,53.4956320224998
24.97185,21.52269,19.88265,19.01004,18.47944,3.449162,1.640038,0.872612,0.5305996,GALAXY,,0.4795184,56724,1,1,0,0,192.946855863801,66.1714615648372
22.49685,20.82497,19.1499,18.50941,18.21245,1.671879,1.675072,0.6404953,0.296957,GALAXY,,0.3926557,56724,1,1,0,0,192.721970572368,66.5408323231933
22.57436,20.41388,18.80572,18.20918,17.91643,2.160479,1.608168,0.5965405,0.2927456,GALAXY,,0.3271824,56724,1,1,0,0,193.098410892804,66.6374570820417
24.88913,21.03287,19.58034,19.00797,18.63637,3.856262,1.452534,0.5723667,0.3716011,GALAXY,,0.3015851,58054,1,1,0,0,114.490248003378,38.5973768424422
25.31372,22.00627,20.18731,19.32216,18.83872,3.307449,1.818954,0.8651543,0.4834347,GALAXY,,0.5244399,55327,1,1,0,0,199.401363581211,2.31536127245278
22.64698,19.94579,18.54051,17.90712,17.53517,2.701193,1.405277,0.6333866,0.3719501,GALAXY,,0.2608653,55656,1,1,0,0,170.19668874676,3.06571632648723
26.03436,21.0311,18.99115,18.3545,17.8851,5.00326,2.039942,0.6366577,0.4693985,GALAXY,,0.3354825,51630,1,1,0,0,146.687297384955,0.860894671928504
25.14614,21.34692,19.3676,18.73232,18.34323,3.799219,1.979315,0.6352844,0.3890934,GALAXY,,0.3588059,55327,1,1,0,0,199.246199372323,2.19652362482449
